"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q7SZF6"	"Vitellogenin B1 OS=Xenopus laevis GN=vtgb1 PE=2 SV=1"	"42.3775454045129"	"81"	"94"	"81"	"1"	"1817"	"202.942"	"8.94"	"0.26"	"0.64"	"1.31"	"0.69"	"0.92"	"21.90"	"4.62"	"2.15"	"5.13"	"2.24"	""	"81"	"0"	"0"	"Green"	"356.303064367146"
"False"	"IsMasterProtein"	"P18709"	"Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1"	"33.6469286109574"	"64"	"74"	"64"	"1"	"1807"	"201.418"	"9.04"	"0.23"	"0.61"	"1.33"	"0.60"	"0.84"	"22.13"	"4.00"	"1.49"	"5.93"	"2.79"	""	"64"	"0"	"0"	"Green"	"340.331259247128"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"43.0793157076205"	"30"	"33"	"30"	"1"	"643"	"65.847"	"8.12"	"0.97"	"0.80"	"0.78"	"1.33"	"1.21"	"2.87"	"4.62"	"5.29"	"3.15"	"2.95"	""	"30"	"0"	"0"	"Green"	"177.828284032058"
"False"	"IsMasterProtein"	"P23787"	"Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3"	"39.8757763975155"	"34"	"37"	"33"	"1"	"805"	"89.156"	"5.3"	"0.69"	"0.82"	"0.86"	"1.06"	"0.96"	"6.67"	"3.43"	"3.34"	"2.81"	"2.84"	""	"34"	"0"	"0"	"Green"	"177.194430301016"
"False"	"IsMasterProtein"	"Q00387"	"Serine protease inhibitor A6 OS=Xenopus laevis GN=serpina6 PE=2 SV=2"	"66.5137614678899"	"33"	"52"	"33"	"1"	"436"	"49.491"	"8.06"	"0.70"	"0.78"	"0.80"	"1.06"	"0.84"	"6.54"	"3.35"	"5.10"	"4.20"	"5.60"	""	"33"	"0"	"0"	"Green"	"167.590671650802"
"False"	"IsMasterProtein"	"Q7ZWR6"	"ATP synthase subunit beta OS=Xenopus laevis GN=atp5b PE=2 SV=1"	"62.0952380952381"	"25"	"30"	"25"	"1"	"525"	"56.338"	"5.4"	"0.66"	"0.79"	"0.87"	"0.97"	"0.92"	"5.05"	"3.10"	"4.11"	"3.82"	"3.72"	""	"25"	"0"	"0"	"Green"	"167.088149326375"
"False"	"IsMasterProtein"	"Q7SZ25"	"Eno1-prov protein OS=Xenopus laevis GN=eno1 PE=2 SV=1"	"68.8940092165899"	"34"	"40"	"34"	"1"	"434"	"47.418"	"6.57"	"0.66"	"0.77"	"0.76"	"0.96"	"0.87"	"4.87"	"3.93"	"2.99"	"4.02"	"4.99"	""	"34"	"0"	"0"	"Green"	"165.985847194683"
"False"	"IsMasterProtein"	"Q63ZG6"	"Alpha-1,4 glucan phosphorylase OS=Xenopus laevis GN=pygl PE=2 SV=1"	"43.2748538011696"	"44"	"50"	"44"	"1"	"855"	"97.825"	"7.61"	"0.67"	"0.80"	"0.85"	"1.02"	"0.89"	"5.20"	"4.22"	"2.13"	"2.75"	"2.74"	""	"44"	"0"	"0"	"Green"	"162.8441005853"
"False"	"IsMasterProtein"	"O93522"	"Nonmuscle myosin II heavy chain A OS=Xenopus laevis GN=myh9 PE=2 SV=1"	"22.9124236252546"	"46"	"50"	"46"	"1"	"1964"	"226.67"	"5.54"	"0.68"	"0.83"	"0.90"	"1.10"	"1.02"	"5.99"	"4.28"	"3.87"	"2.55"	"1.90"	""	"46"	"0"	"0"	"Green"	"158.321539630991"
"False"	"IsMasterProtein"	"Q7ZXP8"	"Eef2-prov protein OS=Xenopus laevis GN=eef2.1 PE=2 SV=1"	"35.3146853146853"	"35"	"46"	"31"	"1"	"858"	"95.366"	"6.93"	"0.66"	"0.76"	"0.89"	"1.01"	"0.89"	"4.15"	"2.44"	"2.79"	"3.54"	"2.95"	""	"35"	"0"	"0"	"Green"	"156.987119210913"
