"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q7SZF6"	"Vitellogenin B1 OS=Xenopus laevis GN=vtgb1 PE=2 SV=1"	"43.9185470555861"	"85"	"97"	"85"	"1"	"1817"	"202.942"	"8.94"	"1.22"	"1.94"	"0.85"	"1.46"	"1.13"	"2.04"	"2.73"	"5.31"	"1.97"	"3.25"	""	"85"	"0"	"0"	"Green"	"417.525648671348"
"False"	"IsMasterProtein"	"P18709"	"Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1"	"34.5877144438296"	"68"	"82"	"68"	"1"	"1807"	"201.418"	"9.04"	"1.21"	"2.10"	"0.63"	"1.46"	"1.10"	"2.24"	"1.37"	"5.31"	"1.69"	"2.77"	""	"68"	"0"	"0"	"Green"	"351.131201271555"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"44.1679626749611"	"30"	"30"	"30"	"1"	"643"	"65.847"	"8.12"	"0.14"	"0.22"	"0.53"	"0.86"	"1.99"	"98.66"	"29.22"	"9.10"	"6.88"	"1.92"	""	"30"	"0"	"0"	"Green"	"180.833361830974"
"False"	"IsMasterProtein"	"Q6AZV1"	"Hsp90beta OS=Xenopus laevis GN=hsp90ab1 PE=2 SV=1"	"40.3047091412742"	"36"	"38"	"36"	"1"	"722"	"82.905"	"5.05"	"0.94"	"0.83"	"1.04"	"0.91"	"0.78"	"3.50"	"6.64"	"2.28"	"3.32"	"5.23"	""	"36"	"0"	"0"	"Green"	"180.015759116801"
"False"	"IsMasterProtein"	"Q7ZWR6"	"ATP synthase subunit beta OS=Xenopus laevis GN=atp5b PE=2 SV=1"	"61.9047619047619"	"23"	"28"	"23"	"1"	"525"	"56.338"	"5.4"	"1.01"	"0.97"	"1.13"	"0.98"	"1.00"	"3.55"	"7.24"	"3.75"	"3.26"	"3.32"	""	"23"	"0"	"0"	"Green"	"178.973040822038"
"False"	"IsMasterProtein"	"Q00387"	"Serine protease inhibitor A6 OS=Xenopus laevis GN=serpina6 PE=2 SV=2"	"65.3669724770642"	"34"	"51"	"34"	"1"	"436"	"49.491"	"8.06"	"1.05"	"1.08"	"1.17"	"1.08"	"0.80"	"3.59"	"4.74"	"3.60"	"4.00"	"4.54"	""	"34"	"0"	"0"	"Green"	"162.38161669263"
"False"	"IsMasterProtein"	"Q63ZG6"	"Alpha-1,4 glucan phosphorylase OS=Xenopus laevis GN=pygl PE=2 SV=1"	"50.9941520467836"	"49"	"54"	"49"	"1"	"855"	"97.825"	"7.61"	"0.93"	"0.83"	"1.17"	"1.03"	"0.76"	"3.44"	"4.79"	"2.70"	"2.43"	"4.98"	""	"49"	"0"	"0"	"Green"	"159.167629467998"
"False"	"IsMasterProtein"	"Q6DD68"	"LOC397850 protein OS=Xenopus laevis GN=LOC397850 PE=2 SV=1"	"44.5288753799392"	"28"	"29"	"28"	"1"	"658"	"72.625"	"5.07"	"0.91"	"0.96"	"1.03"	"0.91"	"0.90"	"3.07"	"6.35"	"2.58"	"3.61"	"4.63"	""	"28"	"0"	"0"	"Green"	"157.571822932747"
"False"	"IsMasterProtein"	"Q7ZWU3"	"Protein disulfide-isomerase OS=Xenopus laevis GN=pdia3 PE=2 SV=1"	"56.1752988047809"	"37"	"43"	"37"	"1"	"502"	"56.086"	"6"	"0.98"	"1.02"	"1.09"	"0.97"	"0.75"	"3.26"	"5.03"	"3.83"	"3.76"	"6.98"	""	"37"	"0"	"0"	"Green"	"155.957986808238"
"False"	"IsMasterProtein"	"Q7SZ25"	"Eno1-prov protein OS=Xenopus laevis GN=eno1 PE=2 SV=1"	"72.8110599078341"	"35"	"39"	"35"	"1"	"434"	"47.418"	"6.57"	"0.98"	"1.12"	"1.13"	"0.96"	"0.75"	"3.16"	"5.00"	"2.99"	"3.18"	"6.89"	""	"35"	"0"	"0"	"Green"	"152.199685375024"
"False"	"IsMasterProtein"	"P23787"	"Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3"	"43.3540372670807"	"37"	"42"	"35"	"1"	"805"	"89.156"	"5.3"	"0.94"	"0.94"	"1.10"	"0.96"	"0.81"	"2.81"	"6.61"	"2.46"	"2.97"	"5.89"	""	"37"	"0"	"0"	"Green"	"151.314300805824"
"False"	"IsMasterProtein"	"Q7ZXP8"	"Eef2-prov protein OS=Xenopus laevis GN=eef2.1 PE=2 SV=1"	"45.3379953379953"	"42"	"55"	"38"	"1"	"858"	"95.366"	"6.93"	"0.97"	"0.88"	"1.13"	"0.93"	"0.81"	"3.19"	"5.57"	"2.59"	"4.99"	"2.61"	""	"42"	"0"	"0"	"Green"	"143.915184756065"
