"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q7SZF6"	"Vitellogenin B1 OS=Xenopus laevis GN=vtgb1 PE=2 SV=1"	"40.231150247661"	"72"	"83"	"72"	"1"	"1817"	"202.942"	"8.94"	"0.19"	"0.71"	"0.70"	"0.39"	"0.78"	"33.10"	"2.79"	"3.47"	"10.21"	"1.98"	""	"72"	"0"	"0"	"Green"	"339.058489687927"
"False"	"IsMasterProtein"	"P18709"	"Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1"	"29.8284449363586"	"54"	"63"	"54"	"1"	"1807"	"201.418"	"9.04"	"0.14"	"0.69"	"0.66"	"0.36"	"0.74"	"36.68"	"2.89"	"6.80"	"12.26"	"3.39"	""	"54"	"0"	"0"	"Green"	"267.32875472853"
"False"	"IsMasterProtein"	"Q7SZ25"	"Eno1-prov protein OS=Xenopus laevis GN=eno1 PE=2 SV=1"	"63.8248847926267"	"34"	"42"	"33"	"1"	"434"	"47.418"	"6.57"	"0.49"	"0.81"	"1.06"	"0.86"	"0.76"	"4.61"	"4.98"	"3.99"	"4.48"	"2.59"	""	"34"	"0"	"0"	"Green"	"190.724266696159"
"False"	"IsMasterProtein"	"Q6AZV1"	"Hsp90beta OS=Xenopus laevis GN=hsp90ab1 PE=2 SV=1"	"40.4432132963989"	"37"	"42"	"37"	"1"	"722"	"82.905"	"5.05"	"0.49"	"0.84"	"1.05"	"0.84"	"0.78"	"4.71"	"2.32"	"3.53"	"4.40"	"3.57"	""	"37"	"0"	"0"	"Green"	"188.049509346565"
"False"	"IsMasterProtein"	"Q63ZG6"	"Alpha-1,4 glucan phosphorylase OS=Xenopus laevis GN=pygl PE=2 SV=1"	"52.3976608187135"	"48"	"53"	"48"	"1"	"855"	"97.825"	"7.61"	"0.44"	"0.88"	"1.12"	"0.86"	"0.72"	"7.11"	"4.08"	"4.23"	"5.12"	"3.58"	""	"48"	"0"	"0"	"Green"	"187.13819544097"
"False"	"IsMasterProtein"	"Q7ZTK6"	"MGC53952 protein OS=Xenopus laevis GN=hspa8 PE=2 SV=1"	"52.0123839009288"	"33"	"38"	"33"	"1"	"646"	"70.748"	"5.4"	"0.54"	"0.80"	"0.93"	"0.88"	"0.79"	"8.29"	"4.33"	"4.66"	"5.07"	"4.02"	""	"33"	"0"	"0"	"Green"	"171.545125720995"
"False"	"IsMasterProtein"	"Q00387"	"Serine protease inhibitor A6 OS=Xenopus laevis GN=serpina6 PE=2 SV=2"	"63.7614678899083"	"32"	"49"	"32"	"1"	"436"	"49.491"	"8.06"	"0.49"	"0.84"	"1.02"	"0.86"	"0.77"	"7.25"	"3.89"	"4.79"	"4.84"	"3.80"	""	"32"	"0"	"0"	"Green"	"169.931315983671"
"False"	"IsMasterProtein"	"Q7ZXP8"	"Eef2-prov protein OS=Xenopus laevis GN=eef2.1 PE=2 SV=1"	"45.4545454545455"	"43"	"56"	"40"	"1"	"858"	"95.366"	"6.93"	"0.49"	"0.87"	"1.02"	"0.83"	"0.77"	"5.27"	"1.92"	"3.17"	"3.15"	"2.49"	""	"43"	"0"	"0"	"Green"	"167.484258718264"
"False"	"IsMasterProtein"	"Q7ZWR6"	"ATP synthase subunit beta OS=Xenopus laevis GN=atp5b PE=2 SV=1"	"61.5238095238095"	"23"	"25"	"23"	"1"	"525"	"56.338"	"5.4"	"0.50"	"0.84"	"1.12"	"1.02"	"0.72"	"11.76"	"5.68"	"5.49"	"5.40"	"3.22"	""	"23"	"0"	"0"	"Green"	"164.609837909682"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"40.5909797822706"	"28"	"28"	"28"	"1"	"643"	"65.847"	"8.12"	"1.50"	"0.70"	"0.46"	"0.70"	"0.81"	"2.08"	"7.45"	"17.32"	"6.84"	"5.74"	""	"28"	"0"	"0"	"Green"	"162.422219047538"
"False"	"IsMasterProtein"	"Q7ZWU3"	"Protein disulfide-isomerase OS=Xenopus laevis GN=pdia3 PE=2 SV=1"	"56.9721115537849"	"36"	"37"	"36"	"1"	"502"	"56.086"	"6"	"0.48"	"0.82"	"1.14"	"0.90"	"0.73"	"5.81"	"2.95"	"4.91"	"3.92"	"2.83"	""	"36"	"0"	"0"	"Green"	"159.706478676179"
"False"	"IsMasterProtein"	"P23787"	"Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3"	"43.6024844720497"	"37"	"40"	"36"	"1"	"805"	"89.156"	"5.3"	"0.47"	"0.84"	"1.01"	"0.90"	"0.78"	"6.49"	"2.42"	"3.49"	"4.07"	"2.26"	""	"37"	"0"	"0"	"Green"	"157.010732632669"
"False"	"IsMasterProtein"	"Q7ZY52"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Xenopus laevis PE=2 SV=1"	"62.1621621621622"	"25"	"35"	"24"	"1"	"333"	"35.812"	"8.05"	"0.49"	"0.79"	"0.99"	"0.83"	"0.74"	"7.53"	"2.08"	"4.78"	"6.85"	"3.04"	""	"25"	"0"	"0"	"Green"	"151.461574181683"
"False"	"IsMasterProtein"	"K1C10_HUMAN"	"(Common contaminant protein)"	"44.6880269814503"	"27"	"29"	"27"	"1"	"593"	"59.483"	"5.21"	"1.28"	"0.77"	"0.51"	"0.53"	"0.87"	"4.14"	"7.19"	"12.32"	"7.27"	"4.90"	""	"27"	"0"	"0"	"Green"	"149.137313620889"
"False"	"IsMasterProtein"	"O93522"	"Nonmuscle myosin II heavy chain A OS=Xenopus laevis GN=myh9 PE=2 SV=1"	"24.949083503055"	"50"	"54"	"50"	"1"	"1964"	"226.67"	"5.54"	"0.55"	"0.82"	"1.07"	"0.96"	"0.78"	"4.79"	"3.07"	"2.93"	"2.68"	"3.07"	""	"50"	"0"	"0"	"Green"	"144.286589102245"
"False"	"IsMasterProtein"	"Q6PCI8"	"Pyruvate carboxylase OS=Xenopus laevis GN=pc.1 PE=2 SV=1"	"32.1155480033985"	"34"	"39"	"34"	"1"	"1177"	"130.011"	"6.93"	"0.52"	"0.87"	"1.22"	"0.95"	"0.69"	"4.02"	"2.66"	"2.94"	"3.61"	"3.81"	""	"34"	"0"	"0"	"Green"	"141.867384613904"
"False"	"IsMasterProtein"	"A2VD63"	"Uncharacterized protein OS=Xenopus laevis PE=2 SV=1"	"37.7639751552795"	"33"	"35"	"33"	"1"	"805"	"92.608"	"4.82"	"0.52"	"0.96"	"1.16"	"0.91"	"0.78"	"9.94"	"5.42"	"4.51"	"6.63"	"4.17"	""	"33"	"0"	"0"	"Green"	"133.197361840181"
"False"	"IsMasterProtein"	"Q6B4U5"	"Malate dehydrogenase OS=Xenopus laevis GN=mdh2 PE=2 SV=1"	"60.9467455621302"	"16"	"21"	"16"	"1"	"338"	"35.766"	"8.59"	"0.44"	"0.80"	"1.08"	"0.87"	"0.63"	"14.13"	"5.53"	"5.12"	"4.19"	"6.41"	""	"16"	"0"	"0"	"Green"	"131.807861279784"
"False"	"IsMasterProtein"	"P53506"	"Actin, cytoplasmic type 8 OS=Xenopus laevis PE=3 SV=1"	"57.1808510638298"	"25"	"32"	"24"	"1"	"376"	"41.821"	"5.48"	"0.46"	"0.87"	"1.09"	"0.88"	"0.74"	"13.52"	"2.43"	"5.66"	"4.68"	"4.15"	""	"25"	"0"	"0"	"Green"	"130.895734233209"
"False"	"IsMasterProtein"	"Q8AVB7"	"Cct2-prov protein OS=Xenopus laevis GN=cct2 PE=2 SV=1"	"55.5140186915888"	"25"	"28"	"25"	"1"	"535"	"57.629"	"6.21"	"0.48"	"0.77"	"0.95"	"0.86"	"0.79"	"10.05"	"4.21"	"3.76"	"4.55"	"3.19"	""	"25"	"0"	"0"	"Green"	"124.583671743731"
"False"	"IsMasterProteinCandidate"	"Q9PTK6"	"Perilipin OS=Xenopus laevis GN=fatvg PE=2 SV=1"	"54.4117647058823"	"20"	"21"	"17"	"1"	"408"	"44.644"	"5.39"	"0.46"	"0.89"	"1.06"	"0.95"	"0.78"	"6.65"	"5.07"	"8.27"	"4.82"	"5.36"	""	"20"	"0"	"0"	"Green"	"124.514349563878"
"False"	"IsMasterProtein"	"Q6IP21"	"Perilipin OS=Xenopus laevis GN=plin2 PE=2 SV=1"	"51.8691588785047"	"20"	"21"	"17"	"1"	"428"	"47.168"	"5.06"	"0.46"	"0.89"	"1.06"	"0.95"	"0.78"	"6.65"	"5.07"	"8.27"	"4.82"	"5.36"	""	"20"	"0"	"0"	"Green"	"124.514349563878"
"False"	"IsMasterProtein"	"Q68EY5"	"ATP synthase subunit alpha OS=Xenopus laevis GN=atp5a1 PE=2 SV=1"	"53.3453887884268"	"28"	"30"	"28"	"1"	"553"	"59.851"	"9.1"	"0.56"	"0.74"	"0.94"	"0.87"	"0.75"	"6.84"	"4.62"	"4.27"	"4.71"	"3.51"	""	"28"	"0"	"0"	"Green"	"122.763974207816"
"False"	"IsMasterProtein"	"Q5U4V6"	"LOC397931 protein OS=Xenopus laevis GN=LOC397931 PE=2 SV=1"	"57.3333333333333"	"25"	"27"	"25"	"1"	"450"	"50.035"	"5.15"	"0.49"	"0.90"	"1.10"	"0.85"	"0.81"	"5.66"	"4.03"	"4.82"	"8.21"	"4.23"	""	"25"	"0"	"0"	"Green"	"122.310447715543"
"False"	"IsMasterProtein"	"Q7ZY25"	"Pyruvate kinase OS=Xenopus laevis PE=2 SV=1"	"39.2789373814042"	"28"	"37"	"25"	"1"	"527"	"57.362"	"7.14"	"0.48"	"0.79"	"0.96"	"0.87"	"0.70"	"10.72"	"2.90"	"4.46"	"4.88"	"4.62"	""	"28"	"0"	"0"	"Green"	"121.506612916847"
"False"	"IsMasterProtein"	"Q9PSX0"	"Fructose-bisphosphate aldolase OS=Xenopus laevis GN=aldoc PE=2 SV=1"	"50"	"19"	"20"	"19"	"1"	"364"	"39.248"	"6.54"	"0.52"	"0.88"	"1.01"	"0.84"	"0.73"	"8.39"	"5.27"	"3.23"	"6.27"	"5.31"	""	"19"	"0"	"0"	"Green"	"118.412075646288"
"False"	"IsMasterProtein"	"Q6ING0"	"LOC443576 protein (Fragment) OS=Xenopus laevis GN=LOC443576 PE=2 SV=1"	"36.9308600337268"	"19"	"19"	"19"	"1"	"593"	"64.288"	"6.67"	"0.48"	"0.78"	"0.95"	"0.81"	"0.73"	"13.94"	"3.71"	"9.52"	"6.60"	"4.73"	""	"19"	"0"	"0"	"Green"	"118.302117688322"
"False"	"IsMasterProtein"	"Q7ZTJ5"	"Protein disulfide-isomerase (Fragment) OS=Xenopus laevis GN=P4hb PE=2 SV=1"	"53.1914893617021"	"31"	"35"	"30"	"1"	"517"	"57.98"	"4.91"	"0.47"	"0.80"	"0.97"	"0.88"	"0.69"	"7.79"	"5.06"	"5.07"	"3.93"	"5.60"	""	"31"	"0"	"0"	"Green"	"116.087776678211"
"False"	"IsMasterProtein"	"Q9I8J7"	"MGC69114 protein OS=Xenopus laevis GN=tktl2 PE=2 SV=1"	"37.76"	"23"	"25"	"23"	"1"	"625"	"67.409"	"6.73"	"0.48"	"0.81"	"0.98"	"0.79"	"0.77"	"7.29"	"3.99"	"7.15"	"6.56"	"3.86"	""	"23"	"0"	"0"	"Green"	"114.824027248159"
"False"	"IsMasterProtein"	"Q6IP60"	"Hspd1 protein OS=Xenopus laevis GN=hspd1 PE=2 SV=1"	"47.8411053540587"	"27"	"28"	"27"	"1"	"579"	"61.596"	"5.83"	"0.52"	"0.85"	"1.08"	"0.91"	"0.71"	"4.96"	"4.29"	"5.25"	"4.91"	"4.85"	""	"27"	"0"	"0"	"Green"	"109.164610044087"
"False"	"IsMasterProteinCandidate"	"Q9PUG0"	"Aconitate hydratase, mitochondrial OS=Xenopus laevis PE=2 SV=1"	"33.7616822429907"	"29"	"32"	"28"	"1"	"856"	"93.474"	"7.78"	"0.53"	"0.81"	"1.04"	"0.88"	"0.64"	"9.86"	"3.22"	"5.83"	"5.86"	"5.76"	""	"29"	"0"	"0"	"Green"	"108.959442925868"
"False"	"IsMasterProtein"	"Q6NTP7"	"Aconitate hydratase, mitochondrial OS=Xenopus laevis GN=LOC398139 PE=2 SV=1"	"33.3759590792839"	"29"	"32"	"28"	"1"	"782"	"85.386"	"7.11"	"0.53"	"0.81"	"1.04"	"0.88"	"0.64"	"9.86"	"3.22"	"5.83"	"5.86"	"5.76"	""	"29"	"0"	"0"	"Green"	"108.959442925868"
