"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q7SZF6"	"Vitellogenin B1 OS=Xenopus laevis GN=vtgb1 PE=2 SV=1"	"35.5531095211888"	"69"	"78"	"66"	"1"	"1817"	"202.942"	"8.94"	"0.34"	"0.30"	"0.51"	"1.25"	"0.63"	"16.81"	"20.27"	"6.91"	"2.12"	"4.39"	""	"69"	"0"	"0"	"Green"	"310.099541984438"
"False"	"IsMasterProtein"	"P18709"	"Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1"	"34.9750968456004"	"66"	"72"	"63"	"1"	"1807"	"201.418"	"9.04"	"0.27"	"0.25"	"0.49"	"1.32"	"0.58"	"15.87"	"16.51"	"7.05"	"1.30"	"3.13"	""	"66"	"0"	"0"	"Green"	"304.622633524113"
"False"	"IsMasterProtein"	"Q63ZG6"	"Alpha-1,4 glucan phosphorylase OS=Xenopus laevis GN=pygl PE=2 SV=1"	"50.4093567251462"	"47"	"52"	"46"	"1"	"855"	"97.825"	"7.61"	"0.83"	"0.72"	"1.04"	"0.94"	"0.85"	"5.26"	"7.32"	"2.91"	"2.98"	"1.92"	""	"47"	"0"	"0"	"Green"	"179.315054043468"
"False"	"IsMasterProtein"	"Q6AZV1"	"Hsp90beta OS=Xenopus laevis GN=hsp90ab1 PE=2 SV=1"	"38.2271468144044"	"34"	"40"	"34"	"1"	"722"	"82.905"	"5.05"	"0.77"	"0.76"	"0.92"	"0.84"	"0.80"	"3.67"	"5.84"	"3.53"	"2.69"	"2.67"	""	"34"	"0"	"0"	"Green"	"175.41757822556"
"False"	"IsMasterProtein"	"Q7ZXP8"	"Eef2-prov protein OS=Xenopus laevis GN=eef2.1 PE=2 SV=1"	"44.5221445221445"	"40"	"49"	"36"	"1"	"858"	"95.366"	"6.93"	"0.73"	"0.71"	"0.91"	"0.86"	"0.85"	"5.35"	"6.30"	"3.83"	"3.56"	"2.63"	""	"40"	"0"	"0"	"Green"	"171.323504565458"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"41.0575427682737"	"29"	"31"	"29"	"1"	"643"	"65.847"	"8.12"	"1.09"	"0.52"	"0.82"	"1.30"	"0.38"	"4.03"	"9.85"	"3.98"	"2.40"	"5.52"	""	"29"	"0"	"0"	"Green"	"164.837745086653"
"False"	"IsMasterProtein"	"Q7ZWU3"	"Protein disulfide-isomerase OS=Xenopus laevis GN=pdia3 PE=2 SV=1"	"55.3784860557769"	"35"	"38"	"35"	"1"	"502"	"56.086"	"6"	"0.80"	"0.78"	"0.95"	"0.82"	"0.82"	"3.82"	"3.75"	"3.08"	"2.74"	"3.17"	""	"35"	"0"	"0"	"Green"	"163.680926841607"
"False"	"IsMasterProtein"	"Q7ZWR6"	"ATP synthase subunit beta OS=Xenopus laevis GN=atp5b PE=2 SV=1"	"65.7142857142857"	"23"	"26"	"22"	"1"	"525"	"56.338"	"5.4"	"0.78"	"0.76"	"0.86"	"0.77"	"0.87"	"4.56"	"8.10"	"4.93"	"3.29"	"5.55"	""	"23"	"0"	"0"	"Green"	"159.758159691492"
"False"	"IsMasterProtein"	"Q00387"	"Serine protease inhibitor A6 OS=Xenopus laevis GN=serpina6 PE=2 SV=2"	"62.6146788990826"	"32"	"52"	"32"	"1"	"436"	"49.491"	"8.06"	"0.74"	"0.80"	"0.98"	"0.87"	"0.83"	"8.40"	"8.13"	"4.56"	"3.48"	"3.60"	""	"32"	"0"	"0"	"Green"	"154.806492677041"
"False"	"IsMasterProtein"	"Q7SZ25"	"Eno1-prov protein OS=Xenopus laevis GN=eno1 PE=2 SV=1"	"67.9723502304147"	"34"	"39"	"33"	"1"	"434"	"47.418"	"6.57"	"0.75"	"0.72"	"0.93"	"0.83"	"0.79"	"3.48"	"6.29"	"3.90"	"2.92"	"2.39"	""	"34"	"0"	"0"	"Green"	"152.51548361388"
