"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q7SZF6"	"Vitellogenin B1 OS=Xenopus laevis GN=vtgb1 PE=2 SV=1"	"41.221794166208"	"80"	"88"	"80"	"1"	"1817"	"202.942"	"8.94"	"0.39"	"0.39"	"0.80"	"0.98"	"1.34"	"13.55"	"13.15"	"2.78"	"2.87"	"2.50"	""	"80"	"0"	"0"	"Green"	"339.248439735155"
"False"	"IsMasterProtein"	"P18709"	"Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1"	"30.43718871057"	"58"	"71"	"58"	"1"	"1807"	"201.418"	"9.04"	"0.36"	"0.34"	"0.77"	"1.00"	"1.40"	"11.49"	"13.37"	"4.11"	"2.67"	"2.23"	""	"58"	"0"	"0"	"Green"	"305.043018426625"
"False"	"IsMasterProtein"	"Q63ZG6"	"Alpha-1,4 glucan phosphorylase OS=Xenopus laevis GN=pygl PE=2 SV=1"	"47.4853801169591"	"43"	"47"	"43"	"1"	"855"	"97.825"	"7.61"	"0.81"	"0.73"	"0.73"	"0.76"	"0.96"	"2.39"	"5.13"	"2.02"	"3.06"	"4.31"	""	"43"	"0"	"0"	"Green"	"184.978894579867"
"False"	"IsMasterProtein"	"Q7ZWR6"	"ATP synthase subunit beta OS=Xenopus laevis GN=atp5b PE=2 SV=1"	"67.4285714285714"	"23"	"28"	"23"	"1"	"525"	"56.338"	"5.4"	"0.85"	"0.65"	"0.74"	"0.69"	"0.99"	"3.58"	"4.34"	"5.75"	"4.89"	"3.99"	""	"23"	"0"	"0"	"Green"	"183.981329869754"
"False"	"IsMasterProtein"	"Q00387"	"Serine protease inhibitor A6 OS=Xenopus laevis GN=serpina6 PE=2 SV=2"	"67.8899082568807"	"35"	"59"	"35"	"1"	"436"	"49.491"	"8.06"	"0.82"	"0.71"	"0.73"	"0.73"	"1.00"	"3.17"	"6.05"	"3.95"	"4.33"	"4.24"	""	"35"	"0"	"0"	"Green"	"169.338268985506"
"False"	"IsMasterProtein"	"Q7SZ25"	"Eno1-prov protein OS=Xenopus laevis GN=eno1 PE=2 SV=1"	"67.2811059907834"	"33"	"42"	"33"	"1"	"434"	"47.418"	"6.57"	"0.78"	"0.64"	"0.71"	"0.75"	"1.01"	"2.38"	"7.05"	"4.12"	"4.46"	"4.09"	""	"33"	"0"	"0"	"Green"	"167.397596081427"
"False"	"IsMasterProtein"	"P23787"	"Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3"	"43.4782608695652"	"37"	"42"	"36"	"1"	"805"	"89.156"	"5.3"	"0.80"	"0.68"	"0.74"	"0.73"	"1.10"	"2.40"	"4.83"	"4.11"	"4.49"	"2.91"	""	"37"	"0"	"0"	"Green"	"165.53857452108"
"False"	"IsMasterProtein"	"Q7ZWU3"	"Protein disulfide-isomerase OS=Xenopus laevis GN=pdia3 PE=2 SV=1"	"51.593625498008"	"32"	"33"	"32"	"1"	"502"	"56.086"	"6"	"0.77"	"0.69"	"0.75"	"0.73"	"0.98"	"3.35"	"4.54"	"3.88"	"4.67"	"3.73"	""	"32"	"0"	"0"	"Green"	"157.623857691921"
"False"	"IsMasterProtein"	"Q6GR58"	"Malate dehydrogenase OS=Xenopus laevis GN=mdh2 PE=2 SV=1"	"59.1715976331361"	"17"	"19"	"17"	"1"	"338"	"35.687"	"8.78"	"0.99"	"0.58"	"0.80"	"0.63"	"0.91"	"3.86"	"9.83"	"3.43"	"3.49"	"8.30"	""	"17"	"0"	"0"	"Green"	"154.228421761455"
"False"	"IsMasterProtein"	"Q6AZV1"	"Hsp90beta OS=Xenopus laevis GN=hsp90ab1 PE=2 SV=1"	"44.0443213296399"	"37"	"41"	"37"	"1"	"722"	"82.905"	"5.05"	"0.78"	"0.77"	"0.74"	"0.72"	"0.98"	"2.47"	"4.37"	"1.80"	"3.67"	"4.09"	""	"37"	"0"	"0"	"Green"	"152.5473728556"
"False"	"IsMasterProtein"	"Q7ZTK6"	"MGC53952 protein OS=Xenopus laevis GN=hspa8 PE=2 SV=1"	"45.3560371517028"	"28"	"33"	"28"	"1"	"646"	"70.748"	"5.4"	"0.80"	"0.66"	"0.75"	"0.73"	"1.01"	"2.79"	"6.69"	"4.33"	"4.24"	"5.35"	""	"28"	"0"	"0"	"Green"	"151.937920062341"
